Distillery,Postcode,LatitudeUTM,LongitudeUTM,Lat,Lon,Region
Aberfeldy,PH15 2EB,286580,749680,56.62508,+AC0-3.85052,Highland
Aberlour,AB38 9PJ,326340,842570,57.46728,+AC0-3.22997,Speyside
AnCnoc,AB54 5LI,352960,839320,57.5637,+AC0-2.7589,Highland
Ardbeg,PA42 7EB,141560,646220,55.64018,+AC0-6.10911,Islay +ACY- Islands
Ardmore,AB54 4NH,355350,829140,57.35044,+AC0-2.74388,Highland
Arran Isle Of,KA27 8HJ,194050,649950,55.69948,+AC0-5.27964,Islay +ACY- Islands
Auchentoshan,G81 4SJ,247670,672610,55.92231,+AC0-4.43951,Lowland
Auchroisk,AB55 6XS,340754,848623,57.54703,+AC0-3.11692,Speyside
Aultmore,AB55 6QY,340754,848623,57.56654,+AC0-3.0009,Speyside
Balblair,IV19 1LB,270820,885770,57.8426,+AC0-4.17811,Highland
Balmenach,PH26 3PF,307750,827170,57.32534,+AC0-3.5339,Speyside
Belvenie,AB55 4DH,332680,840840,57.45487,+AC0-3.12794,Speyside
BenNevis,PH33 6TJ,212600,775710,56.83482,+AC0-5.07377,Highland
Benriach,IV30 8SJ,323450,858380,57.60863,+AC0-3.28188,Speyside
Benrinnes,AB38 9NN,325800,839920,57.44458,+AC0-3.23416,Speyside
Benromach,IV36 3EB,303330,859350,57.61361,+AC0-3.62003,Speyside
Bladnoch,DG8 9AB,242260,554260,54.85811,+AC0-4.45884,Lowland
BlairAthol,PH16 5LY,294860,757580,56.69768,+AC0-3.71859,Highland
Bowmore,PA43 7JS,131330,659720,55.75622,+AC0-6.29024,Islay +ACY- Islands
Bruichladdich,PA49 7UN,126680,661400,55.7684,+AC0-6.35968,Islay +ACY- Islands
Bunnahabhain,PA46 7RR,142210,673170,55.88237,+AC0-6.12395,Islay +ACY- Islands
Caol Ila,PA46 7RL,142920,670040,55.85473,+AC0-6.10963,Islay +ACY- Islands
Cardhu,AB38 7RY,318790,843090,57.47036,+AC0-3.3561,Speyside
Clynelish,KW9 6LR,290250,904230,58.02375,+AC0-3.87033,Highland
Craigallechie,AB38 9ST,328920,844920,57.48792,+AC0-3.19083,Speyside
Craigganmore,AB37 9AB,316600,836370,57.41172,+AC0-3.38784,Speyside
Dailuaine,AB38 7RE,323520,841010,57.4528,+AC0-3.27652,Speyside
Dalmore,IV17 0UT,266610,868730,57.68868,+AC0-4.23894,Highland
Dalwhinnie,PH19 1AB,263670,785270,56.93543,+AC0-4.24166,Highland
Deanston,FK16 6AG,271570,701570,56.18868,+AC0-4.07017,Highland
Dufftown,AB55 4BR,332360,839200,57.43835,+AC0-3.12862,Speyside
Edradour,PH16 5JP,295960,757940,56.7016,+AC0-3.70242,Highland
Glen Deveron Macduff,AB45 3JT,372120,860400,57.6578,+AC0-2.51276,Highland
Glen Elgin,IV30 8SL,322640,861040,57.59769,+AC0-3.28049,Speyside
Glen Garioch,AB51 0ES,381020,827590,57.33834,+AC0-2.31719,Highland
Glen Grant,AB38 7BS,327610,849570,57.53034,+AC0-3.21079,Speyside
Glen Keith,AB55 5FQ,340754,848623,57.54633,+AC0-2.95667,Speyside
Glen Moray,IV30 1YE,319820,862320,57.6435,+AC0-3.34511,Speyside
Glen Ord,IV6 7UJ,251810,850860,57.52218,+AC0-4.47821,Highland
Glen Scotia,PA28 6DS,172090,621010,55.42968,+AC0-5.6038,Highland
Glen Spey,AB38 7AU,327760,849140,57.52641,+AC0-3.2078,Speyside
Glenallachie,AB38 9LR,326490,841240,57.45585,+AC0-3.22752,Speyside
Glendronach,AB54 6DA,361200,844930,57.49283,+AC0-2.64914,Highland
Glendullan,AB55 4DJ,333000,840300,57.4479,+AC0-3.11838,Speyside
Glenfarclas,AB37 9BD,320950,838160,57.42675,+AC0-3.31821,Highland
Glenfiddich,AB55 4DH,332680,840840,57.45487,+AC0-3.12794,Speyside
Glengoyne,G63 9LB,252810,682750,56.01494,+AC0-4.36304,Highland
Glenkinchie,EH34 5ET,344380,666690,55.88999,+AC0-2.89126,Lowland
Glenlivet,AB37 9DB,319560,828780,57.34334,+AC0-3.33872,Speyside
Glenlossie,IV30 3SS,322640,861040,57.5987,+AC0-3.3193,Speyside
